codigo,datetime,codigo_concorrente
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 00:19:02.429,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-20 20:05:43.635,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 03:41:15.154,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-06 01:42:59.636,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-06 02:18:20.314,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-26 12:10:25.802,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-05 22:07:26.797,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-20 19:45:36.551,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-01 16:30:45.649,650509405109544
L2LNsLdlJMdr6HeuMICn51YlaE2rD6OhOXcXbsjjqG2yCduGMBii2tOtaWzZktCS,2017-07-11 14:57:31.879,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-03 20:36:46.213,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-06-30 23:48:20.502,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-20 20:06:44.658,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-15 23:58:37.941,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 03:53:28.763,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 08:46:00.422,650509405109544
OmcsirDdfqogQ8tIlIvMFxkbodSAGkI2NGaE5Ji70Emrsz5rTk/Ful1uLqeAGbDH,2017-07-16 13:29:56.557,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-13 20:14:28.723,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 18:02:14.461,650509405109544
