codigo_concorrente;dias_semana;manha;tarde;noite
119750171435636;4;8.5;11.6;7.2
119750171435636;5;11.0;9.25;9.6
119750171435636;6;8.0;11.2;18.2
120860071321808;0;9.4;16.0;12.666666666666666
120860071321808;1;6.333333333333333;6.571428571428571;10.4
120860071321808;2;1.0;2.0;
120860071321808;3;1.75;4.25;6.0
120860071321808;4;3.0;13.0;12.5
120860071321808;5;3.0;6.25;5.0
120860071321808;6;3.25;8.6;13.0
121396544594959;0;9.8;11.4;6.333333333333333
121396544594959;1;10.2;10.0;6.5
121396544594959;2;6.0;9.8;4.8
121396544594959;3;5.0;12.75;13.0
121396544594959;4;3.2;9.8;7.25
121396544594959;5;10.25;9.25;8.75
121396544594959;6;3.5;10.166666666666666;13.5
122801551125088;0;9.0;15.2;8.0
122801551125088;1;5.8;12.6;7.666666666666667
122801551125088;2;9.4;11.25;6.75
122801551125088;3;14.0;13.5;9.75
122801551125088;4;17.25;15.0;10.25
122801551125088;5;9.2;22.75;10.75
122801551125088;6;15.5;19.0;13.4
123605544507661;0;10.8;10.0;12.0
123605544507661;1;5.8;6.0;8.8
123605544507661;2;8.2;14.8;7.333333333333333
123605544507661;3;6.4;13.25;9.0
123605544507661;4;11.25;11.5;10.5
123605544507661;5;10.25;16.5;10.5
123605544507661;6;8.6;17.8;11.6
124784010929909;0;22.2;28.8;2.0
124784010929909;1;11.6;3.3333333333333335;2.0
124784010929909;2;16.2;17.333333333333332;1.5
124784010929909;3;13.5;20.5;2.6666666666666665
124784010929909;4;11.5;25.0;2.25
124784010929909;5;12.8;26.0;4.666666666666667
124784010929909;6;19.25;31.0;4.2
126365280773576;0;4.0;23.2;15.0
126365280773576;1;9.6;12.833333333333334;9.666666666666666
126365280773576;2;5.0;2.6;1.0
126365280773576;3;3.3333333333333335;2.6666666666666665;12.8
126365280773576;4;4.0;4.75;7.0
126365280773576;5;17.75;9.75;20.0
126365280773576;6;2.5;4.0;6.75
128455574029071;0;22.8;18.2;12.2
128455574029071;1;18.142857142857142;15.333333333333334;25.4
128455574029071;2;40.8;15.0;14.2
128455574029071;3;33.8;39.0;17.25
128455574029071;4;16.4;14.75;12.0
128455574029071;5;18.0;15.4;9.8
128455574029071;6;21.333333333333332;15.8;8.6
128688523870583;0;5.6;5.0;5.2
128688523870583;1;4.0;4.8;3.0
128688523870583;2;5.333333333333333;4.0;2.4
128688523870583;3;8.5;7.0;1.6
128688523870583;4;8.75;4.75;3.5
128688523870583;5;7.5;13.5;2.4
128688523870583;6;6.0;9.6;3.8
129820823893774;0;;1.0;
129820823893774;1;;4.0;
129820823893774;3;1.0;1.0;
129820823893774;4;;1.0;1.0
129820823893774;5;1.0;;
130743173727391;0;12.0;13.4;12.0
130743173727391;1;4.6;10.5;8.4
130743173727391;2;8.8;9.0;4.75
130743173727391;3;5.75;13.75;10.75
130743173727391;4;4.5;16.5;9.6
130743173727391;5;5.0;14.75;11.0
130743173727391;6;7.0;10.6;11.8
131841770205220;0;7.5;2.0;1.25
131841770205220;1;2.3333333333333335;2.8;2.75
131841770205220;2;2.6;1.5;1.3333333333333333
131841770205220;3;1.5;1.0;1.0
131841770205220;4;1.0;2.25;1.0
131841770205220;5;3.0;3.6666666666666665;2.5
131841770205220;6;2.3333333333333335;1.6;8.0
133200086878786;0;7.8;10.2;8.2
133200086878786;1;5.6;7.333333333333333;6.5
133200086878786;2;5.4;8.571428571428571;2.0
133200086878786;3;7.75;5.0;8.25
133200086878786;4;6.0;9.5;7.75
133200086878786;5;5.0;7.25;9.25
133200086878786;6;5.0;6.8;10.6
133752033461795;0;4.8;2.25;8.0
133752033461795;1;5.2;6.5;2.0
133752033461795;2;2.0;2.0;1.3333333333333333
133752033461795;3;4.5;3.25;2.75
133752033461795;4;9.75;2.3333333333333335;5.75
133752033461795;5;4.0;3.3333333333333335;2.25
133752033461795;6;2.6;2.8;9.8
134249426720701;0;3.0;4.0;6.0
134249426720701;1;7.25;4.8;4.0
134249426720701;2;3.0;2.0;4.0
134249426720701;3;1.6666666666666667;3.5;3.5
134249426720701;4;1.6666666666666667;;2.6666666666666665
134249426720701;5;2.0;1.0;1.0
134249426720701;6;3.0;2.5;5.5
135269966672143;0;5.166666666666667;8.2;3.2
135269966672143;1;3.75;2.8333333333333335;9.4
135269966672143;2;7.833333333333333;7.166666666666667;7.666666666666667
135269966672143;3;10.0;13.25;3.6
135269966672143;4;10.75;9.6;5.5
135269966672143;5;7.5;5.4;5.4
135269966672143;6;9.0;5.6;4.5
135990146478009;0;;1.0;1.0
135990146478009;1;4.333333333333333;7.666666666666667;2.0
135990146478009;4;2.0;;
135990146478009;6;;1.0;
136447566479563;0;9.0;10.4;7.25
136447566479563;1;8.666666666666666;4.75;2.0
136447566479563;2;7.75;10.8;6.0
136447566479563;3;8.5;11.25;7.25
136447566479563;4;9.75;10.0;5.5
136447566479563;5;10.333333333333334;8.4;6.5
136447566479563;6;9.5;10.4;6.25
136479983088499;0;6.166666666666667;8.6;5.6
136479983088499;1;6.6;8.0;5.6
136479983088499;2;8.2;5.0;6.0
136479983088499;3;4.5;3.5;5.0
